user_id,permission_id
23,14
23,13
30,48
30,47
39,41
52,52
52,39
55,53
55,7
55,6
61,56
61,49
70,34
70,37
70,54
79,50
87,26
87,46
87,21
91,42
91,39
91,35
117,40
117,46
118,20
118,18
130,36
130,49
142,23
153,42
153,49
162,35
163,36
163,37
163,40
187,46
187,58
187,41
190,43
190,40
209,48
209,23
209,33
221,39
237,38
237,40
237,5
254,51
254,12
256,29
256,25
262,29
262,44
262,27
265,23
265,58
265,35
270,41
278,20
292,57
295,11
295,8
295,24
303,45
305,27
312,53
312,7
330,14
330,55
333,6
333,8
333,47
336,5
336,57
336,7
342,4
350,53
388,32
388,3
388,57
408,33
412,21
412,16
419,37
419,29
420,40
420,32
427,49
444,37
444,8
444,44
465,54
465,48
465,9
473,38
473,31
