user_id,patient_id
1,P00001
1,P00002
1,P00003
1,P00004
1,P00005
1,P00010
1,P00011
2,P00006
2,P00007
2,P00008
2,P00009
2,P00012
2,P00013
3,P00014
3,P00015
3,P00016
3,P00017
3,P00018
4,P00001
4,P00002
4,P00003
4,P00004
4,P00005
5,P00006
5,P00007
5,P00008
5,P00009
6,P00014
6,P00015
6,P00016
6,P00017
20,P00019
20,P00020
20,P00021
20,P00022
22,P00023
22,P00024
22,P00025
22,P00026
22,P00027
30,P00028
30,P00029
30,P00030
31,P00031
31,P00032
31,P00033
31,P00034
33,P00035
35,P00036
35,P00037
35,P00038
35,P00039
35,P00040
39,P00041
42,P00042
43,P00043
43,P00044
43,P00045
43,P00046
46,P00047
46,P00048
49,P00049
50,P00050
52,P00051
52,P00052
59,P00053
59,P00054
59,P00055
61,P00056
61,P00057
64,P00058
64,P00059
64,P00060
65,P00061
65,P00062
65,P00063
66,P00064
66,P00065
74,P00066
75,P00067
75,P00068
75,P00069
77,P00070
77,P00071
79,P00072
79,P00073
79,P00074
79,P00075
79,P00076
81,P00077
83,P00078
83,P00079
83,P00080
85,P00081
85,P00082
85,P00083
85,P00084
86,P00085
88,P00086
88,P00087
88,P00088
88,P00089
88,P00090
93,P00091
93,P00092
93,P00093
93,P00094
93,P00095
96,P00096
96,P00097
97,P00098
97,P00099
97,P00100
97,P00101
97,P00102
99,P00103
99,P00104
99,P00105
99,P00106
101,P00107
101,P00108
104,P00109
104,P00110
104,P00111
104,P00112
104,P00113
107,P00114
107,P00115
107,P00116
109,P00117
112,P00118
112,P00119
112,P00120
112,P00121
114,P00122
114,P00123
114,P00124
114,P00125
117,P00126
117,P00127
117,P00128
117,P00129
119,P00130
119,P00131
119,P00132
121,P00133
121,P00134
121,P00135
121,P00136
121,P00137
122,P00138
126,P00139
127,P00140
127,P00141
127,P00142
128,P00143
128,P00144
130,P00145
130,P00146
130,P00147
130,P00148
130,P00149
131,P00150
131,P00151
131,P00152
131,P00153
140,P00154
140,P00155
142,P00156
142,P00157
142,P00158
143,P00159
143,P00160
143,P00161
143,P00162
143,P00163
152,P00164
152,P00165
152,P00166
152,P00167
152,P00168
155,P00169
155,P00170
155,P00171
155,P00172
155,P00173
156,P00174
156,P00175
163,P00176
163,P00177
164,P00178
164,P00179
164,P00180
170,P00181
170,P00182
170,P00183
170,P00184
173,P00185
173,P00186
176,P00187
187,P00188
187,P00189
189,P00190
189,P00191
190,P00192
190,P00193
190,P00194
190,P00195
190,P00196
191,P00197
195,P00198
195,P00199
195,P00200
195,P00201
197,P00202
199,P00203
199,P00204
199,P00205
199,P00206
203,P00207
203,P00208
203,P00209
208,P00210
208,P00211
208,P00212
208,P00213
208,P00214
209,P00215
209,P00216
209,P00217
212,P00218
212,P00219
213,P00220
213,P00221
214,P00222
214,P00223
214,P00224
214,P00225
214,P00226
221,P00227
221,P00228
221,P00229
222,P00230
223,P00231
223,P00232
223,P00233
226,P00234
226,P00235
226,P00236
226,P00237
228,P00238
228,P00239
232,P00240
234,P00241
234,P00242
236,P00243
236,P00244
236,P00245
241,P00246
241,P00247
241,P00248
241,P00249
241,P00250
245,P00251
247,P00252
247,P00253
247,P00254
247,P00255
247,P00256
250,P00257
250,P00258
250,P00259
251,P00260
251,P00261
251,P00262
251,P00263
253,P00264
253,P00265
253,P00266
253,P00267
253,P00268
255,P00269
255,P00270
255,P00271
255,P00272
255,P00273
256,P00274
256,P00275
256,P00276
259,P00277
261,P00278
261,P00279
261,P00280
265,P00281
265,P00282
265,P00283
265,P00284
265,P00285
266,P00286
266,P00287
267,P00288
267,P00289
272,P00290
272,P00291
272,P00292
272,P00293
272,P00294
274,P00295
275,P00296
275,P00297
275,P00298
275,P00299
275,P00300
283,P00301
283,P00302
284,P00303
284,P00304
284,P00305
284,P00306
289,P00307
289,P00308
289,P00309
289,P00310
289,P00311
290,P00312
290,P00313
290,P00314
290,P00315
290,P00316
293,P00317
293,P00318
293,P00319
293,P00320
294,P00321
297,P00322
297,P00323
297,P00324
304,P00325
304,P00326
308,P00327
308,P00328
311,P00329
311,P00330
311,P00331
315,P00332
315,P00333
315,P00334
316,P00335
316,P00336
316,P00337
317,P00338
317,P00339
317,P00340
319,P00341
319,P00342
321,P00343
321,P00344
321,P00345
321,P00346
321,P00347
326,P00348
326,P00349
326,P00350
326,P00351
326,P00352
328,P00353
328,P00354
328,P00355
328,P00356
329,P00357
329,P00358
329,P00359
329,P00360
329,P00361
331,P00362
337,P00363
338,P00364
338,P00365
338,P00366
347,P00367
347,P00368
347,P00369
347,P00370
351,P00371
351,P00372
366,P00373
366,P00374
366,P00375
366,P00376
366,P00377
367,P00378
367,P00379
367,P00380
367,P00381
367,P00382
372,P00383
372,P00384
373,P00385
374,P00386
374,P00387
374,P00388
384,P00389
384,P00390
384,P00391
384,P00392
387,P00393
388,P00394
388,P00395
388,P00396
388,P00397
393,P00398
393,P00399
393,P00400
395,P00401
395,P00402
395,P00403
395,P00404
395,P00405
396,P00406
396,P00407
396,P00408
397,P00409
398,P00410
398,P00411
398,P00412
398,P00413
398,P00414
399,P00415
399,P00416
399,P00417
402,P00418
402,P00419
402,P00420
402,P00421
402,P00422
404,P00423
404,P00424
404,P00425
404,P00426
404,P00427
406,P00428
406,P00429
406,P00430
406,P00431
407,P00432
407,P00433
407,P00434
407,P00435
413,P00436
414,P00437
414,P00438
414,P00439
417,P00440
417,P00441
418,P00442
418,P00443
418,P00444
420,P00445
420,P00446
420,P00447
420,P00448
420,P00449
422,P00450
423,P00451
425,P00452
425,P00453
429,P00454
429,P00455
429,P00456
429,P00457
429,P00458
431,P00459
431,P00460
431,P00461
431,P00462
431,P00463
437,P00464
439,P00465
440,P00466
440,P00467
441,P00468
441,P00469
444,P00470
444,P00471
444,P00472
444,P00473
445,P00474
447,P00475
447,P00476
448,P00477
448,P00478
448,P00479
448,P00480
448,P00481
451,P00482
451,P00483
451,P00484
451,P00485
453,P00486
456,P00487
456,P00488
458,P00489
460,P00490
460,P00491
460,P00492
460,P00493
461,P00494
461,P00495
461,P00496
462,P00497
466,P00498
467,P00499
468,P00500
471,P00501
471,P00502
479,P00503
479,P00504
479,P00505
480,P00506
480,P00507
480,P00508
480,P00509
480,P00510
481,P00511
484,P00512
484,P00513
484,P00514
484,P00515
484,P00516
